isbn,authors,original_publication_year,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,to_read_count,author_nationality,age_group,main_genre,sale price,avg_sale_price
143038419,Elizabeth Gilbert,2006,"Eat, Pray, Love",eng,3.51,1181647,1206597,49714,,American,Adult,romance,,4.530333333333333
786838655,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,4.23,1366265,1411114,46006,,American,Children,fantasy,,4.927173913043478
451529308,Louisa May Alcott,1868,"Little Women (Little Women, #1)",eng,4.04,1257121,1314293,17090,157.0,American,Children,romance,,4.386363636363637
142437204,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,eng,4.1,1198557,1286135,31212,,American,Young Adult,romance,,4.6415094339622645
553816713,Nicholas Sparks,1996,"The Notebook (The Notebook, #1)",eng,4.06,1053403,1076749,17279,,American,Young Adult,romance,,4.6415094339622645
770430074,Yann Martel,2001,Life of Pi,,3.88,1003228,1077431,42962,48.0,Canadian,Young Adult,fantasy,,4.094285714285714
1565125606,Sara Gruen,2006,Water for Elephants,eng,4.07,1068146,1108839,55732,,American,Young Adult,romance,,4.6415094339622645
375831002,Markus Zusak,2005,The Book Thief,eng,4.36,1159741,1287798,93611,,German,Young Adult,fantasy,,4.094285714285714
307347974,Ray Bradbury,1953,Fahrenheit 451,spa,3.97,570498,1176240,30694,236.0,American,Young Adult,fantasy,,4.094285714285714
316160199,Stephenie Meyer,2006,"New Moon (Twilight, #2)",eng,3.52,1149630,1199000,44020,,American,Young Adult,fantasy,,4.094285714285714
60513039,Shel Silverstein,1974,Where the Sidewalk Ends,eng,4.29,1016888,1023781,9234,,American,Children,fantasy,,4.927173913043478
1416914285,Cassandra Clare,2007,"City of Bones (The Mortal Instruments, #1)",eng,4.12,1154031,1241799,51589,,American,Young Adult,fantasy,,4.094285714285714
316160202,Stephenie Meyer,2007,"Eclipse (Twilight, #3)",eng,3.69,1134511,1176642,35216,,American,Young Adult,fantasy,,4.094285714285714
375826696,Christopher Paolini,2002,"Eragon (The Inheritance Cycle, #1)",eng,3.86,1104021,1125231,18280,,American,Children,fantasy,,4.927173913043478
031606792X,Stephenie Meyer,2008,"Breaking Dawn (Twilight, #4)",eng,3.7,1070245,1107709,44550,,American,Children,fantasy,,4.927173913043478
142001740,Sue Monk Kidd,2001,The Secret Life of Bees,eng,4.01,916189,937393,26522,,American,Young Adult,romance,,4.6415094339622645
142437174,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,eng,3.8,953758,1001491,12448,22.0,American,Children,historical,,4.238181818181818
64410935,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,eng,4.15,1064521,1084842,13044,,American,Children,fantasy,,4.927173913043478
1594633665,Paula Hawkins,2015,The Girl on the Train,eng,3.88,1008778,1226485,93600,,British,Adult,thriller,,5.038157894736842
679879242,Philip Pullman,1995,"The Golden Compass (His Dark Materials, #1)",eng,3.94,953970,994914,14915,,British,Children,fantasy,,4.927173913043478
743454537,Jodi Picoult,2004,My Sister's Keeper,eng,4.06,863879,887880,30719,,American,Young Adult,romance,,4.6415094339622645
385333846,Kurt Vonnegut Jr.,1969,Slaughterhouse-Five,eng,4.06,846488,891762,19646,123.0,American,Young Adult,fantasy,,4.094285714285714
446675539,Margaret Mitchell,1936,Gone with the Wind,eng,4.28,873981,897303,16050,,American,Adult,romance,,4.530333333333333
1594489505,Khaled Hosseini,2007,A Thousand Splendid Suns,eng,4.34,818742,866065,43645,,American,Young Adult,romance,,4.6415094339622645
671027344,Stephen Chbosky,1999,The Perks of Being a Wallflower,eng,4.21,888806,954905,47116,,American,Young Adult,romance,,
7442912,Veronica Roth,2012,"Insurgent (Divergent, #2)",eng,4.07,836362,947338,55873,,American,Young Adult,fantasy,,4.094285714285714
812550706,Orson Scott Card,1985,"Ender's Game (Ender's Saga, #1)",eng,4.3,813439,873417,38054,,American,Children,fantasy,,4.927173913043478
141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,Frankenstein,eng,3.75,808589,883563,19993,,American,Young Adult,fantasy,,4.094285714285714
450040186,Stephen King,1977,The Shining (The Shining #1),eng,4.17,791850,830881,14936,,American,Adult,fantasy,,4.827571428571429
316068047,Stephenie Meyer,2008,"The Host (The Host, #1)",eng,3.84,749780,777560,39778,,American,Young Adult,fantasy,,4.094285714285714
142402516,John Green,2005,Looking for Alaska,eng,4.09,783470,831285,47128,,American,Young Adult,romance,,4.6415094339622645
014028009X,Helen Fielding,1996,"Bridget Jones's Diary (Bridget Jones, #1)",eng,3.75,736498,754498,8157,,British,Adult,romance,,4.530333333333333
141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,eng,4.06,738894,779382,11526,,British,Adult,romance,,5.271463414634146
439244196,"Louis Sachar, Louis Sachar",1998,"Holes (Holes, #1)",eng,3.93,747445,764637,15832,,American,Children,fantasy,,4.927173913043478
307275558,Lauren Weisberger,2003,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,3.7,665930,679845,8024,45.0,American,Young Adult,romance,,4.6415094339622645
156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,The Little Prince,eng,4.28,738757,859286,24537,,French,Children,fantasy,,4.927173913043478
074324754X,Jeannette Walls,2005,The Glass Castle,eng,4.24,621099,637866,40777,17.0,American,Young Adult,non-fiction,,1.9625
385486804,Jon Krakauer,1996,Into the Wild,eng,3.94,647684,665377,17299,152.0,American,Young Adult,non-fiction,,1.9625
141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,eng,3.81,637412,677713,13093,148.0,American,Young Adult,romance,,4.6415094339622645
030734813X,Michael Crichton,1990,"Jurassic Park (Jurassic Park, #1)",spa,3.96,447833,650483,8143,29.0,American,Children,fantasy,,4.927173913043478
60256656,Shel Silverstein,1964,The Giving Tree,eng,4.38,702332,708287,14368,,American,Children,fantasy,,4.927173913043478
385338600,John Grisham,1989,A Time to Kill,eng,4.03,597775,608824,4239,,American,Adult,thriller,,5.038157894736842
374500010,"Elie Wiesel, Marion Wiesel",1958,Night (The Night Trilogy #1),eng,4.3,691231,707879,22001,57.0,American,Young Adult,historical,,4.66
014241493X,John Green,2008,Paper Towns,eng,3.88,461311,655271,42717,,American,Young Adult,romance,,4.6415094339622645
345418263,William Goldman,1973,The Princess Bride ,eng,4.25,628637,658042,15630,,American,Children,romance,,4.927173913043478
014038572X,S.E. Hinton,1967,The Outsiders,eng,4.06,659248,680437,22662,,American,Children,thriller,,4.8025
385737947,James Dashner,2009,"The Maze Runner (Maze Runner, #1)",eng,4.02,719925,777956,48942,,American,Young Adult,fantasy,,4.094285714285714
61234001,"Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",eng,3.93,524191,549301,13668,113.0,American,Adult,non-fiction,,4.607142857142857
517189607,Frances Hodgson Burnett,1911,The Secret Garden,eng,4.12,639357,692249,13054,30.0,American,Children,fantasy,,4.927173913043478
60531045,"Gabriel García Márquez, Gregory Rabassa",1967,One Hundred Years of Solitude,eng,4.04,490565,575667,21671,504.0,Spanish,Adult,romance,,4.530333333333333
375751513,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,eng,4.06,590014,674551,19647,68.0,Irish,Young Adult,fantasy,,4.094285714285714
345803507,E.L. James,2012,"Fifty Shades Freed (Fifty Shades, #3)",eng,3.88,387290,610116,25287,,British,Adult,fantasy,,4.827571428571429
393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,eng,3.98,618973,689739,17263,,Irish,Adult,fantasy,,4.827571428571429
307269981,"Stieg Larsson, Reg Keeland",2006,"The Girl Who Played with Fire (Millennium, #2)",eng,4.22,563994,649253,31423,,Swedish,Adult,thriller,,5.038157894736842
1612130585,E.L. James,2011,"Fifty Shades Darker (Fifty Shades, #2)",eng,3.87,552059,623340,28052,,British,Young Adult,romance,,4.6415094339622645
60786507,Barbara Kingsolver,1998,The Poisonwood Bible,eng,4.02,546502,562787,19941,47.0,American,Young Adult,historical,,4.66
349113912,David Sedaris,2000,Me Talk Pretty One Day,eng,3.97,495736,514276,14982,52.0,American,Adult,non-fiction,,4.607142857142857
99408392,Maurice Sendak,1963,Where the Wild Things Are,eng,4.22,620618,636061,9102,,American,Children,fantasy,,4.927173913043478
140449264,"Alexandre Dumas, Robin Buss",1844,The Count of Monte Cristo,eng,4.21,555822,601220,15925,7.0,French,Children,fantasy,,4.927173913043478
307265439,Cormac McCarthy,2006,The Road,eng,3.95,504793,555787,38980,57.0,American,Adult,fantasy,,4.827571428571429
7524277,Veronica Roth,2013,"Allegiant (Divergent, #3)",eng,3.63,463257,663226,62536,,American,Young Adult,fantasy,,4.094285714285714
,Tina Fey,2011,Bossypants,eng,3.94,506250,609260,35142,,American,Adult,non-fiction,,4.607142857142857
446693804,Nicholas Sparks,1999,A Walk to Remember,eng,4.15,546948,559581,11071,45.0,American,Young Adult,romance,,4.6415094339622645
451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,eng,4.14,513407,560132,12505,,French,Young Adult,romance,,4.6415094339622645
553381695,George R.R. Martin,1998,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng,4.4,523303,606765,20325,,American,Adult,fantasy,,4.827571428571429
143037145,Kim Edwards,2005,The Memory Keeper's Daughter,eng,3.64,501430,510582,18027,,American,Young Adult,romance,,4.6415094339622645
684833395,Joseph Heller,1961,Catch-22,eng,3.98,563265,582515,13734,,American,Young Adult,historical,,4.66
751529818,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,eng,4.06,556518,584397,19272,38.0,American,Young Adult,non-fiction,,1.9625
312422156,Jeffrey Eugenides,2002,Middlesex,eng,3.98,488243,507998,20880,268.0,American,Adult,historical,,5.271463414634146
143039563,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,eng,3.89,555359,594226,7165,,American,Children,historical,,4.238181818181818
440498058,Madeleine L'Engle,1962,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",eng,4.04,615907,650094,19413,,American,Children,fantasy,,4.927173913043478
143038095,Amy Tan,1989,The Joy Luck Club,eng,3.9,515090,525243,6708,21.0,American,Young Adult,romance,,4.6415094339622645
038549081X,Margaret Atwood,1985,The Handmaid's Tale,eng,4.06,607889,683564,35925,,Canadian,Adult,fantasy,,4.827571428571429
385729332,Ann Brashares,2001,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,3.75,525706,536604,6477,,American,Children,romance,,4.386363636363637
,"Vladimir Nabokov, Craig Raine",1955,Lolita,eng,3.88,469836,517990,18107,64.0,American,Adult,romance,,4.530333333333333
60987103,"Gregory Maguire, Douglas Smith",1995,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng,3.52,506900,525498,22926,,American,Young Adult,fantasy,,4.094285714285714
582418275,John Grisham,1991,"The Firm (Penguin Readers, Level 5)",eng,3.99,488269,488355,3139,57.0,American,Adult,thriller,,5.038157894736842
316098337,Emma Donoghue,2010,Room,eng,4.03,511360,556327,42254,,Canadian,Children,thriller,,4.8025
340839937,Frank Herbert,1965,Dune (Dune Chronicles #1),eng,4.19,485032,525976,13239,,American,Adult,fantasy,,4.827571428571429
316346624,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,490504,499066,10895,315.0,Canadian,Adult,non-fiction,,4.607142857142857
1451648537,Walter Isaacson,2011,Steve Jobs,eng,4.09,560715,579256,15198,,American,Adult,non-fiction,,4.607142857142857
451163966,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,eng,4.18,491642,514458,7855,,American,Young Adult,historical,,4.66
684830493,Ernest Hemingway,1952,The Old Man and the Sea,eng,3.73,520630,574328,16716,33.0,American,Young Adult,historical,,4.66
142000663,John Steinbeck,1939,The Grapes of Wrath,eng,3.92,322321,553352,12991,100.0,American,Young Adult,historical,,4.66
1401308589,Mitch Albom,2003,The Five People You Meet in Heaven,,3.9,449501,474699,16682,20.0,American,Young Adult,romance,,4.6415094339622645
451528824,L.M. Montgomery,1908,"Anne of Green Gables (Anne of Green Gables, #1)",eng,4.23,502247,533352,14041,38.0,Canadian,Children,romance,,4.386363636363637
1416914307,Cassandra Clare,2009,"City of Glass (The Mortal Instruments, #3)",eng,4.34,593173,630560,22736,,American,Young Adult,fantasy,,4.094285714285714
055357342X,George R.R. Martin,2000,"A Storm of Swords (A Song of Ice and Fire, #3)",eng,4.54,469022,527644,19497,,American,Adult,fantasy,,4.827571428571429
006075995X,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,eng,3.79,465676,470508,3867,,American,Young Adult,romance,,4.6415094339622645
440242940,Diana Gabaldon,1991,"Outlander (Outlander, #1)",eng,4.2,515547,578842,36707,,American,Adult,fantasy,,4.827571428571429
1594744769,Ransom Riggs,2011,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",eng,3.89,613674,672222,53569,,American,Children,fantasy,,4.927173913043478
030726999X,"Stieg Larsson, Reg Keeland",2007,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",eng,4.2,443951,526791,26766,,Swedish,Adult,thriller,,5.038157894736842
804139024,Andy Weir,2012,The Martian,eng,4.39,423344,529702,61298,,American,Adult,fantasy,,4.827571428571429
1476746583,Anthony Doerr,2014,All the Light We Cannot See,eng,4.31,470001,547827,53413,,American,Young Adult,historical,,4.66
1400064163,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4,487775,528552,41572,,American,Adult,historical,,5.271463414634146
671027387,Dan Brown,2001,Deception Point,eng,3.67,455610,479733,7798,8.0,American,Adult,fantasy,,4.827571428571429
316055433,Donna Tartt,2013,The Goldfinch,eng,3.87,396756,463847,44631,,American,Adult,thriller,,5.038157894736842
1595141715,Jay Asher,2007,Thirteen Reasons Why,eng,4.02,463783,571281,43467,,American,Young Adult,romance,,4.6415094339622645
452287022,Tracy Chevalier,1999,Girl with a Pearl Earring,eng,3.85,467577,492177,8011,70.0,American,Young Adult,romance,,4.6415094339622645
525421033,Gayle Forman,2009,"If I Stay (If I Stay, #1)",eng,3.96,503527,567087,34959,,American,Young Adult,fantasy,,4.094285714285714
312353766,Anita Diamant,1997,The Red Tent,eng,4.16,424981,449217,17234,23.0,American,Adult,fantasy,,4.827571428571429
786856866,Rick Riordan,2006,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng,4.23,514932,550512,20097,,American,Children,fantasy,,4.927173913043478
446528056,Nicholas Sparks,2006,Dear John,eng,4.01,441062,454781,10626,24.0,American,Young Adult,romance,,4.6415094339622645
1416914293,Cassandra Clare,2008,"City of Ashes (The Mortal Instruments, #2)",eng,4.21,541117,586008,23643,,American,Young Adult,fantasy,,4.094285714285714
031232118X,Emily Giffin,2004,"Something Borrowed (Darcy & Rachel, #1)",eng,3.83,403601,435189,11567,,American,Young Adult,romance,,4.6415094339622645
394800168,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,eng,4.29,457475,461041,7370,,American,Children,fantasy,,4.927173913043478
142403881,"Roald Dahl, Quentin Blake",1964,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng,4.1,453959,494747,8473,53.0,British,Children,classics,,4.46
1423101464,Rick Riordan,2008,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng,4.39,508214,537708,14098,,American,Children,fantasy,,4.927173913043478
,"Albert Camus, Matthew    Ward",1942,The Stranger,eng,3.96,420600,483623,14836,,French,Young Adult,thriller,,4.438181818181818
142311339X,Rick Riordan,2010,"The Lost Hero (The Heroes of Olympus, #1)",eng,4.35,271576,489495,17107,,American,Children,fantasy,,4.927173913043478
1250012570,Rainbow Rowell,2013,Eleanor & Park,eng,4.11,514312,579753,53005,,American,Young Adult,romance,,4.6415094339622645
055358202X,George R.R. Martin,2005,"A Feast for Crows (A Song of Ice and Fire, #4)",eng,4.1,428186,481130,18876,,American,Adult,fantasy,,4.827571428571429
747263744,Neil Gaiman,2001,"American Gods (American Gods, #1)",eng,4.11,378019,518343,27587,99.0,American,Adult,fantasy,,4.827571428571429
385199570,"Stephen King, Bernie Wrightson",1978,The Stand,eng,4.34,438832,469953,13808,,American,Adult,fantasy,,4.827571428571429
446547565,Nicholas Sparks,2008,The Last Song,eng,4.14,424637,438429,11051,,American,Young Adult,romance,,4.6415094339622645
552151696,Dan Brown,1998,Digital Fortress,eng,3.6,423019,447503,7538,,American,Adult,fantasy,,4.827571428571429
345803922,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Anna Karenina,eng,4.02,297472,472796,18064,,Russian,Adult,romance,,4.530333333333333
964729237,William Paul Young,2007,The Shack,eng,3.74,419539,438292,29377,,Canadian,Adult,fantasy,,4.827571428571429
739380338,Rick Riordan,2009,"The Last Olympian (Percy Jackson and the Olympians, #5)",eng,4.5,397500,499510,17693,,American,Children,fantasy,,4.927173913043478
451169514,Stephen King,1986,It,eng,4.18,292592,479381,11698,,American,Children,fantasy,,4.927173913043478
143058142,"Fyodor Dostoyevsky, David McDuff",1866,Crime and Punishment,eng,4.18,380903,444675,12605,22.0,Russian,Young Adult,thriller,,4.438181818181818
61148512,Sylvia Plath,1963,The Bell Jar,eng,3.98,401605,442157,15963,3.0,American,Adult,historical,,5.271463414634146
7205236,Frank McCourt,1996,"Angela's Ashes (Frank McCourt, #1)",eng,4.07,392103,419746,9798,,American,Young Adult,historical,,4.66
553208845,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,eng,3.99,372099,418653,11518,,French,Young Adult,historical,,4.66
679745580,Truman Capote,1965,In Cold Blood,eng,4.05,381652,401839,11754,,American,Young Adult,thriller,,4.438181818181818
316042676,"Kami Garcia, Margaret Stohl",2009,"Beautiful Creatures (Caster Chronicles, #1)",eng,3.76,436093,458518,20808,,American,Young Adult,fantasy,,4.094285714285714
1416975861,Cassandra Clare,2010,"Clockwork Angel (The Infernal Devices, #1)",eng,4.33,490890,515759,24385,,American,Young Adult,fantasy,,4.094285714285714
141301066,"Roald Dahl, Quentin Blake",1988,Matilda,eng,4.29,440743,463491,11053,,British,Children,fantasy,,4.927173913043478
385534639,Erin Morgenstern,2011,The Night Circus,eng,4.03,429543,474826,54008,,American,Young Adult,fantasy,,4.094285714285714
689865384,Scott Westerfeld,2005,"Uglies (Uglies, #1)",eng,3.86,449073,464589,21234,,American,Children,fantasy,,4.927173913043478
,George R.R. Martin,2011,"A Dance with Dragons (A Song of Ice and Fire, #5)",eng,4.31,365954,424618,20072,,American,Adult,fantasy,,4.827571428571429
307592731,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail,eng,3.96,379872,420903,34444,,American,Adult,non-fiction,,4.607142857142857
075640407X,Patrick Rothfuss,2007,"The Name of the Wind (The Kingkiller Chronicle, #1)",eng,4.55,400101,449372,28631,,American,Young Adult,fantasy,,4.094285714285714
316017922,Malcolm Gladwell,2008,Outliers: The Story of Success,eng,4.11,353011,369126,19383,,Canadian,Adult,non-fiction,,4.607142857142857
385340990,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,eng,4.12,393626,423672,39853,,American,Adult,romance,,4.530333333333333
393327345,Chuck Palahniuk,1996,Fight Club,eng,4.2,365349,388654,11176,35.0,American,Adult,fantasy,,4.827571428571429
441008534,Charlaine Harris,2001,"Dead Until Dark (Sookie Stackhouse, #1)",eng,3.96,420764,444824,16818,,American,Young Adult,fantasy,,4.094285714285714
671727796,Alice Walker,1982,The Color Purple,eng,4.17,376766,400965,9485,,American,Adult,historical,,5.271463414634146
739461192,John Grogan,2005,Marley and Me: Life and Love With the World's Worst Dog,eng,4.12,367304,379348,13407,,American,Young Adult,romance,,4.6415094339622645
385504225,Dan Brown,2009,"The Lost Symbol (Robert Langdon, #3)",eng,3.66,369428,404982,24199,,American,Adult,fantasy,,4.827571428571429
1416989412,Becca Fitzpatrick,2009,"Hush, Hush (Hush, Hush, #1)",eng,4.0,448166,461802,21871,,American,Young Adult,fantasy,,4.094285714285714
345476875,Anne Rice,1976,"Interview with the Vampire (The Vampire Chronicles, #1)",eng,3.97,372566,393941,7951,,American,Adult,fantasy,,4.827571428571429
62059939,Kiera Cass,2012,"The Selection (The Selection, #1)",eng,4.15,505340,539091,35681,,American,Young Adult,fantasy,,4.094285714285714
312362080,Janet Evanovich,1994,"One for the Money (Stephanie Plum, #1)",eng,4.03,391007,403315,13050,42.0,American,Adult,romance,,4.530333333333333
1400052173,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,eng,4.04,377249,404440,28624,,American,Adult,historical,,5.271463414634146
99446782,Thomas Harris,1988,"The Silence of the Lambs  (Hannibal Lecter, #2)",eng,4.14,351107,366112,3866,,American,Adult,thriller,,5.038157894736842
159514174X,Richelle Mead,2007,"Vampire Academy (Vampire Academy, #1)",eng,4.14,248283,455151,19720,,American,Young Adult,romance,,1.99
316010669,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,eng,3.89,348196,360338,12215,,Canadian,Adult,non-fiction,,4.607142857142857
038572179X,Ian McEwan,2001,Atonement,eng,3.88,347006,365658,14815,20.0,British,Adult,romance,,4.530333333333333
553213695,"Franz Kafka, Stanley Corngold",1915,The Metamorphosis,eng,3.78,364933,414533,10252,,German,Young Adult,fantasy,,4.094285714285714
141382899,Rick Riordan,2007,"The Titan's Curse (Percy Jackson and the Olympians, #3)",eng,4.33,446668,486262,15418,,American,Children,fantasy,,4.927173913043478
030788743X,Ernest Cline,2011,Ready Player One,eng,4.31,349423,421819,52120,,American,Young Adult,fantasy,,4.094285714285714
1554681723,Garth Stein,2006,The Art of Racing in the Rain,eng,4.19,327409,354319,32021,,American,Young Adult,fantasy,,4.094285714285714
739303406,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",eng,3.98,309385,350607,25846,,American,Adult,thriller,,5.038157894736842
425263908,Sylvia Day,2012,"Bared to You (Crossfire, #1)",eng,4.19,222678,386136,16748,,American,Adult,romance,,4.530333333333333
